match_id,venue,competition,match_date,gender,home_team,away_team,winner,outcome,margin,toss_decision,toss_winner,match_type,overs,player_of_match,city,umpire_1,umpire_2,neutral_venue,outcome_result,eliminator,outcome_method,competition_id,competition_name,season
1136574,Wankhede Stadium,IPL,2018-04-17,male,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,46.0,field,Royal Challengers Bangalore,T20,20,RG Sharma,Mumbai,RJ Tucker,Nitin Menon,False,,,,1,IPL,2018
1216528,Dubai International Cricket Stadium,IPL,2020-10-13,male,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,runs,20.0,bat,Chennai Super Kings,T20,20,RA Jadeja,,AK Chaudhary,PR Reiffel,False,,,,1,IPL,2020
733987,Barabati Stadium,IPL,2014-05-07,male,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,runs,44.0,field,Chennai Super Kings,T20,20,GJ Maxwell,Cuttack,HDPK Dharmasena,PG Pathak,False,,,,1,IPL,2014
548307,Eden Gardens,IPL,2012-04-05,male,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,wickets,8.0,field,Delhi Daredevils,T20,20,IK Pathan,Kolkata,S Asnani,HDPK Dharmasena,False,,,,1,IPL,2012
981015,Feroz Shah Kotla,IPL,2016-05-25,male,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,runs,22.0,field,Kolkata Knight Riders,T20,20,MC Henriques,Delhi,M Erasmus,C Shamshuddin,False,,,,1,IPL,2016
980983,"Rajiv Gandhi International Stadium, Uppal",IPL,2016-05-12,male,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,wickets,7.0,field,Delhi Daredevils,T20,20,CH Morris,Hyderabad,K Bharatan,M Erasmus,False,,,,1,IPL,2016
392235,SuperSport Park,IPL,2009-05-21,male,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,4.0,field,Delhi Daredevils,T20,20,V Sehwag,Centurion,IL Howell,S Ravi,True,,,,1,IPL,2009
336000,Sawai Mansingh Stadium,IPL,2008-05-01,male,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,45.0,bat,Rajasthan Royals,T20,20,SA Asnodkar,Jaipur,RE Koertzen,GA Pratapkumar,False,,,,1,IPL,2008
1082618,Wankhede Stadium,IPL,2017-04-24,male,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,runs,3.0,field,Mumbai Indians,T20,20,BA Stokes,Mumbai,A Nand Kishore,S Ravi,False,,,,1,IPL,2017
598048,M Chinnaswamy Stadium,IPL,2013-04-09,male,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,wickets,7.0,bat,Sunrisers Hyderabad,T20,20,V Kohli,Bangalore,S Ravi,SJA Taufel,False,,,,1,IPL,2013
548350,M Chinnaswamy Stadium,IPL,2012-05-02,male,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,4.0,field,Kings XI Punjab,T20,20,Azhar Mahmood,Bangalore,BF Bowden,C Shamshuddin,False,,,,1,IPL,2012
392223,Kingsmead,IPL,2009-05-13,male,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,runs,12.0,field,Deccan Chargers,T20,20,R Bhatia,Durban,DJ Harper,SL Shastri,True,,,,1,IPL,2009
980995,Eden Gardens,IPL,2016-05-16,male,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9.0,field,Royal Challengers Bangalore,T20,20,V Kohli,Kolkata,CB Gaffaney,A Nand Kishore,False,,,,1,IPL,2016
829823,Eden Gardens,IPL,2015-05-24,male,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,41.0,field,Chennai Super Kings,T20,20,RG Sharma,Kolkata,HDPK Dharmasena,RK Illingworth,False,,,,1,IPL,2015
336016,"Punjab Cricket Association Stadium, Mohali",IPL,2008-05-12,male,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,9.0,bat,Royal Challengers Bangalore,T20,20,SE Marsh,Chandigarh,BR Doctrove,I Shivram,False,,,,1,IPL,2008
548346,Wankhede Stadium,IPL,2012-04-29,male,Mumbai Indians,Deccan Chargers,Mumbai Indians,wickets,5.0,field,Mumbai Indians,T20,20,DW Steyn,Mumbai,AK Chaudhary,BNJ Oxenford,False,,,,1,IPL,2012
729309,Sharjah Cricket Stadium,IPL,2014-04-27,male,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,6.0,bat,Mumbai Indians,T20,20,M Vijay,,Aleem Dar,VA Kulkarni,True,,,,1,IPL,2014
419139,Eden Gardens,IPL,2010-04-04,male,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,8.0,bat,Kolkata Knight Riders,T20,20,DPMD Jayawardene,Kolkata,S Asnani,DJ Harper,False,,,,1,IPL,2010
1136562,"Punjab Cricket Association IS Bindra Stadium, Mohali",IPL,2018-04-08,male,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,6.0,field,Kings XI Punjab,T20,20,KL Rahul,Chandigarh,KN Ananthapadmanabhan,RJ Tucker,False,,,,1,IPL,2018
981003,Shaheed Veer Narayan Singh International Stadium,IPL,2016-05-20,male,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,wickets,6.0,field,Delhi Daredevils,T20,20,KK Nair,Raipur,A Nand Kishore,BNJ Oxenford,False,,,,1,IPL,2016
1216494,Sheikh Zayed Stadium,IPL,2020-10-21,male,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8.0,bat,Kolkata Knight Riders,T20,20,Mohammed Siraj,Abu Dhabi,VK Sharma,S Ravi,False,,,,1,IPL,2020
598009,Subrata Roy Sahara Stadium,IPL,2013-04-11,male,Pune Warriors,Rajasthan Royals,Pune Warriors,wickets,7.0,bat,Rajasthan Royals,T20,20,AJ Finch,Pune,M Erasmus,K Srinath,False,,,,1,IPL,2013
548311,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,IPL,2012-04-07,male,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,runs,74.0,field,Deccan Chargers,T20,20,RA Jadeja,Visakhapatnam,JD Cloete,HDPK Dharmasena,False,,,,1,IPL,2012
733991,M Chinnaswamy Stadium,IPL,2014-05-09,male,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,runs,32.0,field,Royal Challengers Bangalore,T20,20,Sandeep Sharma,Bangalore,S Ravi,K Srinath,False,,,,1,IPL,2014
598072,Eden Gardens,IPL,2013-05-24,male,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,4.0,bat,Rajasthan Royals,T20,20,Harbhajan Singh,Kolkata,C Shamshuddin,SJA Taufel,False,,,,1,IPL,2013
1216545,Sheikh Zayed Stadium,IPL,2020-09-26,male,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7.0,bat,Sunrisers Hyderabad,T20,20,Shubman Gill,Abu Dhabi,CB Gaffaney,VK Sharma,False,,,,1,IPL,2020
419142,"MA Chidambaram Stadium, Chepauk",IPL,2010-04-06,male,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,24.0,bat,Chennai Super Kings,T20,20,SK Raina,Chennai,S Asnani,DJ Harper,False,,,,1,IPL,2010
501240,"MA Chidambaram Stadium, Chepauk",IPL,2011-05-04,male,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,8.0,bat,Rajasthan Royals,T20,20,MEK Hussey,Chennai,SS Hazare,RB Tiffin,False,,,,1,IPL,2011
1082622,Eden Gardens,IPL,2017-04-28,male,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,wickets,7.0,field,Kolkata Knight Riders,T20,20,G Gambhir,Kolkata,NJ Llong,S Ravi,False,,,,1,IPL,2017
335991,"Punjab Cricket Association Stadium, Mohali",IPL,2008-04-25,male,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,66.0,field,Mumbai Indians,T20,20,KC Sangakkara,Chandigarh,Aleem Dar,AM Saheba,False,,,,1,IPL,2008
980901,Wankhede Stadium,IPL,2016-04-09,male,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,wickets,9.0,bat,Mumbai Indians,T20,20,AM Rahane,Mumbai,HDPK Dharmasena,CK Nandan,False,,,,1,IPL,2016
1216512,Sheikh Zayed Stadium,IPL,2020-10-18,male,Kolkata Knight Riders,Sunrisers Hyderabad,,,,field,Sunrisers Hyderabad,T20,20,LH Ferguson,Abu Dhabi,PG Pathak,S Ravi,False,tie,Kolkata Knight Riders,,1,IPL,2020
598025,"Punjab Cricket Association Stadium, Mohali",IPL,2013-04-21,male,Kings XI Punjab,Pune Warriors,Kings XI Punjab,wickets,7.0,field,Kings XI Punjab,T20,20,DA Miller,Chandigarh,M Erasmus,K Srinath,False,,,,1,IPL,2013
829767,Feroz Shah Kotla,IPL,2015-05-01,male,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,9.0,field,Delhi Daredevils,T20,20,NM Coulter-Nile,Delhi,RK Illingworth,S Ravi,False,,,,1,IPL,2015
419115,M Chinnaswamy Stadium,IPL,2010-03-18,male,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,wickets,10.0,field,Royal Challengers Bangalore,T20,20,JH Kallis,Bangalore,K Hariharan,DJ Harper,False,,,,1,IPL,2010
1178421,Feroz Shah Kotla,IPL,2019-04-28,male,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,runs,16.0,bat,Delhi Capitals,T20,20,S Dhawan,Delhi,KN Ananthapadmanabhan,BNJ Oxenford,False,,,,1,IPL,2019
729299,Sharjah Cricket Stadium,IPL,2014-04-24,male,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,2.0,field,Royal Challengers Bangalore,T20,20,CA Lynn,,Aleem Dar,VA Kulkarni,True,,,,1,IPL,2014
980917,Wankhede Stadium,IPL,2016-04-16,male,Mumbai Indians,Gujarat Lions,Gujarat Lions,wickets,3.0,field,Gujarat Lions,T20,20,AJ Finch,Mumbai,HDPK Dharmasena,VK Sharma,False,,,,1,IPL,2016
335987,Sawai Mansingh Stadium,IPL,2008-04-21,male,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,6.0,bat,Kings XI Punjab,T20,20,SR Watson,Jaipur,Aleem Dar,RB Tiffin,False,,,,1,IPL,2008
1175356,"MA Chidambaram Stadium, Chepauk",IPL,2019-03-23,male,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,7.0,field,Chennai Super Kings,T20,20,Harbhajan Singh,Chennai,AY Dandekar,BNJ Oxenford,False,,,,1,IPL,2019
829771,M Chinnaswamy Stadium,IPL,2015-05-02,male,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,7.0,field,Royal Challengers Bangalore,T20,20,Mandeep Singh,Bangalore,JD Cloete,PG Pathak,False,,,,1,IPL,2015
598033,Wankhede Stadium,IPL,2013-04-27,male,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,58.0,bat,Mumbai Indians,T20,20,DR Smith,Mumbai,Asad Rauf,S Asnani,False,,,,1,IPL,2013
1216504,Dubai International Cricket Stadium,IPL,2020-09-30,male,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,37.0,field,Rajasthan Royals,T20,20,Shivam Mavi,,KN Ananthapadmanabhan,C Shamshuddin,False,,,,1,IPL,2020
392188,Newlands,IPL,2009-04-22,male,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,runs,24.0,bat,Deccan Chargers,T20,20,AC Gilchrist,Cape Town,M Erasmus,AM Saheba,True,,,,1,IPL,2009
501201,Feroz Shah Kotla,IPL,2011-04-10,male,Delhi Daredevils,Mumbai Indians,Mumbai Indians,wickets,8.0,bat,Delhi Daredevils,T20,20,SL Malinga,Delhi,AM Saheba,RB Tiffin,False,,,,1,IPL,2011
829819,Maharashtra Cricket Association Stadium,IPL,2015-05-20,male,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,runs,71.0,bat,Royal Challengers Bangalore,T20,20,AB de Villiers,Pune,AK Chaudhary,C Shamshuddin,False,,,,1,IPL,2015
392219,New Wanderers Stadium,IPL,2009-05-10,male,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,wickets,7.0,field,Delhi Daredevils,T20,20,A Mishra,Johannesburg,SL Shastri,RB Tiffin,True,,,,1,IPL,2009
734043,Eden Gardens,IPL,2014-05-27,male,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,28.0,field,Kings XI Punjab,T20,20,UT Yadav,Kolkata,NJ Llong,S Ravi,False,,,,1,IPL,2014
598064,"Punjab Cricket Association Stadium, Mohali",IPL,2013-05-06,male,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,6.0,field,Kings XI Punjab,T20,20,DA Miller,Chandigarh,VA Kulkarni,NJ Llong,False,,,,1,IPL,2013
1082634,"Rajiv Gandhi International Stadium, Uppal",IPL,2017-05-06,male,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,runs,12.0,field,Sunrisers Hyderabad,T20,20,JD Unadkat,Hyderabad,KN Ananthapadmanabhan,AK Chaudhary,False,,,,1,IPL,2017
501256,Wankhede Stadium,IPL,2011-05-14,male,Mumbai Indians,Deccan Chargers,Deccan Chargers,runs,10.0,bat,Deccan Chargers,T20,20,A Mishra,Mumbai,S Ravi,SK Tarapore,False,,,,1,IPL,2011
